date,loss,VaR_Normal,VaR_Laplace,breach_normal,breach_laplace
2013-01-03,0.00208779542352477,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-04,-0.00485329997898098,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-07,0.0031280032591221,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-08,0.00324763918073323,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-09,-0.00265234535868152,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-10,-0.00756870010921062,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-11,4.751511497769201e-5,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-14,9.31104904918989e-4,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-15,-0.00112803329530386,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-16,-1.969725099559838e-4,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-17,-0.00562706054135464,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-18,-0.00339749237815123,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-22,-0.00441833162771221,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-23,-0.00150634192429244,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-24,-6.614661544723788e-6,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-25,-0.00543070866186834,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-28,0.00185133427479211,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-29,-0.00509300378120514,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-30,0.00390724467175207,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-01-31,0.00256659195839237,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-02-01,-0.01000251322401002,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-02-04,0.01160583270965176,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-02-05,-0.01036263222205935,0.012986138149175172,0.012850826876080986,FALSE,FALSE
2013-02-06,-5.490198591342477e-4,0.012986138149175172,0.012850826876080986,FALSE,FALSE
