model,expected_rate,observed_rate,expected_percent,observed_percent,gap_percent
Normal,0.05,0.0583167660702452,5,5.831676607024519,0.8316766070245194
Laplace,0.05,0.0583167660702452,5,5.831676607024519,0.8316766070245194
