date,adjusted,log_return,squared_return
2013-01-03,1459.3699951171875,-0.002087795423524774,4.358889730490992e-6
2013-01-04,1466.469970703125,0.004853299978980985,2.355452068597683e-5
2013-01-07,1461.8900146484375,-0.003128003259122103,9.784404389078498e-6
2013-01-08,1457.1500244140625,-0.0032476391807332305,1.0547160248233609e-5
2013-01-09,1461.02001953125,0.0026523453586815293,7.03493590171945e-6
2013-01-10,1472.1199951171875,0.007568700109210624,5.728522134316492e-5
2013-01-11,1472.050048828125,-4.751511497769201e-5,2.2576861513432916e-9
2013-01-14,1470.6800537109375,-9.31104904918989e-4,8.669563439641996e-7
2013-01-15,1472.3399658203125,0.0011280332953038652,1.272459115314097e-6
2013-01-16,1472.6300048828125,1.969725099559838e-4,3.879816967836014e-8
2013-01-17,1480.93994140625,0.005627060541354645,3.1663810336070426e-5
2013-01-18,1485.97998046875,0.0033974923781512345,1.154295445959573e-5
2013-01-22,1492.56005859375,0.004418331627712213,1.9521654372442055e-5
2013-01-23,1494.81005859375,0.0015063419242924425,2.2690659928810586e-6
2013-01-24,1494.8199462890625,6.614661544723788e-6,4.375374735124768e-11
2013-01-25,1502.9599609375,0.005430708661868344,2.949259657009186e-5
2013-01-28,1500.1800537109375,-0.0018513342747921158,3.4274385970200494e-6
2013-01-29,1507.8399658203125,0.005093003781205141,2.5938687515369862e-5
2013-01-30,1501.9599609375,-0.003907244671752075,1.526656092493498e-5
2013-01-31,1498.1099853515625,-0.0025665919583923724,6.587394280884393e-6
2013-02-01,1513.1700439453125,0.010002513224010023,1.000502707964954e-4
2013-02-04,1495.7099609375,-0.011605832709651764,1.3469535288442282e-4
2013-02-05,1511.2900390625,0.010362632222059354,1.0738414656966278e-4
2013-02-06,1512.1199951171875,5.490198591342477e-4,3.0142280572378914e-7
2013-02-07,1509.3900146484375,-0.0018070310558568892,3.265361236831264e-6
2013-02-08,1517.9300537109375,0.005641994585043442,3.183210289765952e-5
2013-02-11,1517.010009765625,-6.063012476387186e-4,3.676012028882668e-7
2013-02-12,1519.4300537109375,0.0015940011376045504,2.540839626684601e-6
2013-02-13,1520.3299560546875,0.00059208777479113905,3.505679330571226e-7
2013-02-14,1521.3800048828125,6.904332650528033e-4,4.766980934914746e-7
2013-02-15,1519.7900390625,-0.0010456277960129157,1.0933374877948277e-6
2013-02-19,1530.93994140625,0.007309694441360648,5.343163282605876e-5
2013-02-20,1511.949951171875,-0.01248171143000576,1.5579312022193643e-4
2013-02-21,1502.4200439453125,-0.006323005465665332,3.998039811883366e-5
2013-02-22,1515.5999755859375,0.008734213386774492,7.628648348571074e-5
2013-02-25,1487.8499755859375,-0.01847927558477469,3.4148362613804995e-4
2013-02-26,1496.93994140625,0.006090876862567818,3.709878095496398e-5
2013-02-27,1515.989990234375,0.012645699119019582,1.5991370620877264e-4
2013-02-28,1514.6800537109375,-8.644534614576926e-4,7.472797870261865e-7
2013-03-01,1518.199951171875,0.0023211594495267107,5.387781190127143e-6
2013-03-04,1525.199951171875,0.004600126548350403,2.116116426083819e-5
2013-03-05,1539.7900390625,0.009520551872499894,9.064090795696123e-5
2013-03-06,1541.4599609375,0.0010839250554139923,1.1748935257542264e-6
2013-03-07,1544.260009765625,0.0018148436172067406,3.2936573549160462e-6
2013-03-08,1551.1800537109375,0.004471128712954631,1.999099196780733e-5
2013-03-11,1556.219970703125,0.003243818865874104,1.0522360834600758e-5
2013-03-12,1552.47998046875,-0.00240614539680184,5.7895356705506835e-6
2013-03-13,1554.52001953125,0.0013131891571704912,1.7244657625101451e-6
2013-03-14,1563.22998046875,0.005587352158972436,3.1218504148373945e-5
2013-03-15,1560.699951171875,-0.0016197737499892284,2.623667001154167e-6
2013-03-18,1552.0999755859375,-0.005525570335024099,3.053192752729834e-5
2013-03-19,1548.3399658203125,-0.0024254697268757397,5.882903395990675e-6
2013-03-20,1558.7099609375,0.006675163815817342,4.455781196799714e-5
2013-03-21,1545.800048828125,-0.00831692375600479,6.917122076319683e-5
2013-03-22,1556.8900146484375,0.0071486438032994926,5.1103108226452236e-5
2013-03-25,1551.68994140625,-0.0033456293009468396,1.1193235419354039e-5
2013-03-26,1563.77001953125,0.0077549631946354225,6.013945415015004e-5
2013-03-27,1562.8499755859375,-5.885230525652929e-4,3.4635938340077054e-7
2013-03-28,1569.18994140625,0.004048463396191693,1.6390055870303976e-5
2013-04-01,1562.1700439453125,-0.004483616865356588,2.0102820195310034e-5
2013-04-02,1570.25,0.005158933898854023,2.6614598972745175e-5
2013-04-03,1553.68994140625,-0.010602133218841736,1.1240522879006744e-4
2013-04-04,1559.97998046875,0.00404027901273718,1.6323854500764522e-5
2013-04-05,1553.280029296875,-0.004304145168907425,1.8525665635029127e-5
2013-04-08,1563.0699462890625,0.006282958765271296,3.9475570846099405e-5
2013-04-09,1568.6099853515625,0.0035380658065768955,1.2517909651668619e-5
2013-04-10,1587.72998046875,0.012115443329548725,1.467839670715067e-4
2013-04-11,1593.3699951171875,0.003545956179577203,1.2573805227481755e-5
2013-04-12,1588.8499755859375,-0.0028407983185489982,8.070135086670815e-6
2013-04-15,1552.3599853515625,-0.02323412455036511,5.398245436218787e-4
2013-04-16,1574.5699462890625,0.014205840828064531,2.0180591363230517e-4
2013-04-17,1552.010009765625,-0.014431313685983937,2.082628147032673e-4
2013-04-18,1541.6099853515625,-0.006723555969544215,4.520620487559365e-5
2013-04-19,1555.25,0.008808989051054539,7.759828810159874e-5
2013-04-22,1562.5,0.00465079821542691,2.162992404061813e-5
2013-04-23,1578.780029296875,0.010365312805553195,1.0743970955696505e-4
2013-04-24,1578.7900390625,6.340170072505202e-6,4.0197756548290625e-11
2013-04-25,1585.1600341796875,0.0040266145649914264,1.6213624855001094e-5
2013-04-26,1582.239990234375,-0.001843811801517603,3.399641959415589e-6
2013-04-29,1593.6099853515625,0.007160315369407755,5.1270116189376915e-5
2013-04-30,1597.5699462890625,0.0024818174185812225,6.159417699173163e-6
2013-05-01,1582.699951171875,-0.009351472649563597,8.7450040715536e-5
2013-05-02,1597.5899658203125,0.009364003810320654,8.768456735969972e-5
2013-05-03,1614.4200439453125,0.010479563948170068,1.0982126054378581e-4
2013-05-06,1617.5,0.0019059611284841793,3.6326878232926862e-6
2013-05-07,1625.9599609375,0.005216639159836944,2.72133241239443e-5
2013-05-08,1632.68994140625,0.004130538866697009,1.706135132929461e-5
2013-05-09,1626.6700439453125,-0.0036939180287731688,1.3645030403295454e-5
2013-05-10,1633.699951171875,0.00431234377158507,1.8596308804328547e-5
2013-05-13,1633.77001953125,4.288844886968235e-5,1.8394190464473572e-9
2013-05-14,1650.3399658203125,0.010091066969150297,0.00010182963257587617
2013-05-15,1658.780029296875,0.005101103490210868,2.6021256817841496e-5
2013-05-16,1650.469970703125,-0.0050223319854110215,2.5223818571682614e-5
2013-05-17,1667.469970703125,0.01024741198656276,1.0500945242235014e-4
2013-05-20,1666.2900390625,-7.078684047074901e-4,5.010776783831271e-7
2013-05-21,1669.1600341796875,0.0017209046830028996,2.96151292798131e-6
2013-05-22,1655.3499755859375,-0.008308074265778842,6.902409800569664e-5
2013-05-23,1650.510009765625,-0.0029281151046065546,8.573858065825054e-6
2013-05-24,1649.5999755859375,-5.515174989882965e-4,3.041715516903056e-7
2013-05-28,1660.06005859375,0.00632096210916,3.9954561985436435e-5
2013-05-29,1648.3599853515625,-0.007072936243165628,5.002642709988591e-5
2013-05-30,1654.4100341796875,0.0036636251143127296,1.3422148978222961e-5
2013-05-31,1630.739990234375,-0.014410576921856766,2.0766472722075083e-4
2013-06-03,1640.4200439453125,0.005918439859741831,3.5027930373380904e-5
2013-06-04,1631.3800048828125,-0.005526048005605411,3.0537206560255536e-5
2013-06-05,1608.9000244140625,-0.01387555454392242,1.925310139013661e-4
2013-06-06,1622.56005859375,0.008454454144231072,7.147779487690595e-5
2013-06-07,1643.3800048828125,0.012749914526945183,1.6256032044440781e-4
2013-06-10,1642.81005859375,-3.4687360363694353e-4,1.2032129690007942e-7
2013-06-11,1626.1300048828125,-0.010205264184820706,1.0414741708198423e-4
2013-06-12,1612.52001953125,-0.008404776908051304,7.064027487411243e-5
2013-06-13,1636.3599853515625,0.014676069097359523,2.1538700415047116e-4
2013-06-14,1626.72998046875,-0.005902401062458651,3.483833830211301e-5
2013-06-17,1639.0400390625,0.007538875562715042,5.6834644750102034e-5
2013-06-18,1651.81005859375,0.007760963428783185,6.0232553342910055e-5
2013-06-19,1628.9300537109375,-0.01394830132848135,1.945551099501146e-4
2013-06-20,1588.18994140625,-0.025328424392299098,6.41529082196412e-4
2013-06-21,1592.4300537109375,0.002666219053526042,7.108724041385304e-6
2013-06-24,1573.0899658203125,-0.012219368959627275,1.4931297777150254e-4
2013-06-25,1588.030029296875,0.009452456559302824,8.934893500550699e-5
